{'imgName': 'CamLeft_000801037000', 'photonShotNoiseLevel': 4.11, 'darkCurrentShotNoiseLevel': 4.11, 'readoutNoiseLevel': 4.11, 'residualNoiseLevel': 4.11, 'cameraGainFactor': 0.9899287949740755, 'temperature': 0.49937375000000017, 'exposureTime': 0.0, 'fullWellSize': 0.12244897959183673, 'sensorType': 1, 'sensorPixelSize': 0.6098901098901098, 'darkSignalFoM': 0.008890825831876017, 'fClock': 0.14535211267605633, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.5050847457627119, 'senseNodeResetFactor': 0.0}
{'imgName': 'CamLeft_000801137000', 'photonShotNoiseLevel': 4.12, 'darkCurrentShotNoiseLevel': 4.12, 'readoutNoiseLevel': 4.12, 'residualNoiseLevel': 4.12, 'cameraGainFactor': 0.9899287949740755, 'temperature': 0.49937375000000017, 'exposureTime': 0.0, 'fullWellSize': 0.12244897959183673, 'sensorType': 1, 'sensorPixelSize': 0.6098901098901098, 'darkSignalFoM': 0.008890825831876017, 'fClock': 0.14535211267605633, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.5050847457627119, 'senseNodeResetFactor': 0.0}
{'imgName': 'CamLeft_000801237000', 'photonShotNoiseLevel': 4.13, 'darkCurrentShotNoiseLevel': 4.13, 'readoutNoiseLevel': 4.13, 'residualNoiseLevel': 4.13, 'cameraGainFactor': 0.9899287949740755, 'temperature': 0.49937375000000017, 'exposureTime': 0.0, 'fullWellSize': 0.12244897959183673, 'sensorType': 1, 'sensorPixelSize': 0.6098901098901098, 'darkSignalFoM': 0.008890825831876017, 'fClock': 0.14535211267605633, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.5050847457627119, 'senseNodeResetFactor': 0.0}
{'imgName': 'CamLeft_000801337000', 'photonShotNoiseLevel': 4.14, 'darkCurrentShotNoiseLevel': 4.14, 'readoutNoiseLevel': 4.14, 'residualNoiseLevel': 4.14, 'cameraGainFactor': 0.9899287949740755, 'temperature': 0.49937375000000017, 'exposureTime': 0.0, 'fullWellSize': 0.12244897959183673, 'sensorType': 1, 'sensorPixelSize': 0.6098901098901098, 'darkSignalFoM': 0.008890825831876017, 'fClock': 0.14535211267605633, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.5050847457627119, 'senseNodeResetFactor': 0.0}
{'imgName': 'CamLeft_000801437000', 'photonShotNoiseLevel': 4.15, 'darkCurrentShotNoiseLevel': 4.15, 'readoutNoiseLevel': 4.15, 'residualNoiseLevel': 4.15, 'cameraGainFactor': 0.9899287949740755, 'temperature': 0.49937375000000017, 'exposureTime': 0.0, 'fullWellSize': 0.12244897959183673, 'sensorType': 1, 'sensorPixelSize': 0.6098901098901098, 'darkSignalFoM': 0.008890825831876017, 'fClock': 0.14535211267605633, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.5050847457627119, 'senseNodeResetFactor': 0.0}
{'imgName': 'CamLeft_000801537000', 'photonShotNoiseLevel': 4.16, 'darkCurrentShotNoiseLevel': 4.16, 'readoutNoiseLevel': 4.16, 'residualNoiseLevel': 4.16, 'cameraGainFactor': 0.9899287949740755, 'temperature': 0.49937375000000017, 'exposureTime': 0.0, 'fullWellSize': 0.12244897959183673, 'sensorType': 1, 'sensorPixelSize': 0.6098901098901098, 'darkSignalFoM': 0.008890825831876017, 'fClock': 0.14535211267605633, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.5050847457627119, 'senseNodeResetFactor': 0.0}
{'imgName': 'CamLeft_000801637000', 'photonShotNoiseLevel': 4.17, 'darkCurrentShotNoiseLevel': 4.17, 'readoutNoiseLevel': 4.17, 'residualNoiseLevel': 4.17, 'cameraGainFactor': 0.9899287949740755, 'temperature': 0.49937375000000017, 'exposureTime': 0.0, 'fullWellSize': 0.12244897959183673, 'sensorType': 1, 'sensorPixelSize': 0.6098901098901098, 'darkSignalFoM': 0.008890825831876017, 'fClock': 0.14535211267605633, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.5050847457627119, 'senseNodeResetFactor': 0.0}
{'imgName': 'CamLeft_000801737000', 'photonShotNoiseLevel': 4.18, 'darkCurrentShotNoiseLevel': 4.18, 'readoutNoiseLevel': 4.18, 'residualNoiseLevel': 4.18, 'cameraGainFactor': 0.9899287949740755, 'temperature': 0.49937375000000017, 'exposureTime': 0.0, 'fullWellSize': 0.12244897959183673, 'sensorType': 1, 'sensorPixelSize': 0.6098901098901098, 'darkSignalFoM': 0.008890825831876017, 'fClock': 0.14535211267605633, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.5050847457627119, 'senseNodeResetFactor': 0.0}
{'imgName': 'CamLeft_000801837000', 'photonShotNoiseLevel': 4.19, 'darkCurrentShotNoiseLevel': 4.19, 'readoutNoiseLevel': 4.19, 'residualNoiseLevel': 4.19, 'cameraGainFactor': 0.9899287949740755, 'temperature': 0.49937375000000017, 'exposureTime': 0.0, 'fullWellSize': 0.12244897959183673, 'sensorType': 1, 'sensorPixelSize': 0.6098901098901098, 'darkSignalFoM': 0.008890825831876017, 'fClock': 0.14535211267605633, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.5050847457627119, 'senseNodeResetFactor': 0.0}
{'imgName': 'CamLeft_000801937000', 'photonShotNoiseLevel': 4.2, 'darkCurrentShotNoiseLevel': 4.2, 'readoutNoiseLevel': 4.2, 'residualNoiseLevel': 4.2, 'cameraGainFactor': 0.9899287949740755, 'temperature': 0.49937375000000017, 'exposureTime': 0.0, 'fullWellSize': 0.12244897959183673, 'sensorType': 1, 'sensorPixelSize': 0.6098901098901098, 'darkSignalFoM': 0.008890825831876017, 'fClock': 0.14535211267605633, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.5050847457627119, 'senseNodeResetFactor': 0.0}
{'imgName': 'CamLeft_000802037000', 'photonShotNoiseLevel': 4.21, 'darkCurrentShotNoiseLevel': 4.21, 'readoutNoiseLevel': 4.21, 'residualNoiseLevel': 4.21, 'cameraGainFactor': 0.9899287949740755, 'temperature': 0.49937375000000017, 'exposureTime': 0.0, 'fullWellSize': 0.12244897959183673, 'sensorType': 1, 'sensorPixelSize': 0.6098901098901098, 'darkSignalFoM': 0.008890825831876017, 'fClock': 0.14535211267605633, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.5050847457627119, 'senseNodeResetFactor': 0.0}
