{'imgName': 'CamRight_000780094000', 'photonShotNoiseLevel': 2.93, 'darkCurrentShotNoiseLevel': 2.93, 'readoutNoiseLevel': 2.93, 'residualNoiseLevel': 2.93, 'cameraGainFactor': 0.4628854898161877, 'temperature': 0.45233750000000017, 'exposureTime': 0.0, 'fullWellSize': 0.03232323232323232, 'sensorType': 0, 'sensorPixelSize': 0.48351648351648346, 'darkSignalFoM': 0.9569181675700699, 'fClock': 0.5774647887323944, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.983050847457627, 'senseNodeResetFactor': 0.0}
{'imgName': 'CamRight_000780194000', 'photonShotNoiseLevel': 2.94, 'darkCurrentShotNoiseLevel': 2.94, 'readoutNoiseLevel': 2.94, 'residualNoiseLevel': 2.94, 'cameraGainFactor': 0.4628854898161877, 'temperature': 0.45233750000000017, 'exposureTime': 0.0, 'fullWellSize': 0.03232323232323232, 'sensorType': 0, 'sensorPixelSize': 0.48351648351648346, 'darkSignalFoM': 0.9569181675700699, 'fClock': 0.5774647887323944, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.983050847457627, 'senseNodeResetFactor': 0.0}
{'imgName': 'CamRight_000780294000', 'photonShotNoiseLevel': 2.95, 'darkCurrentShotNoiseLevel': 2.95, 'readoutNoiseLevel': 2.95, 'residualNoiseLevel': 2.95, 'cameraGainFactor': 0.4628854898161877, 'temperature': 0.45233750000000017, 'exposureTime': 0.0, 'fullWellSize': 0.03232323232323232, 'sensorType': 0, 'sensorPixelSize': 0.48351648351648346, 'darkSignalFoM': 0.9569181675700699, 'fClock': 0.5774647887323944, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.983050847457627, 'senseNodeResetFactor': 0.0}
{'imgName': 'CamRight_000780394000', 'photonShotNoiseLevel': 2.96, 'darkCurrentShotNoiseLevel': 2.96, 'readoutNoiseLevel': 2.96, 'residualNoiseLevel': 2.96, 'cameraGainFactor': 0.4628854898161877, 'temperature': 0.45233750000000017, 'exposureTime': 0.0, 'fullWellSize': 0.03232323232323232, 'sensorType': 0, 'sensorPixelSize': 0.48351648351648346, 'darkSignalFoM': 0.9569181675700699, 'fClock': 0.5774647887323944, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.983050847457627, 'senseNodeResetFactor': 0.0}
{'imgName': 'CamRight_000780494000', 'photonShotNoiseLevel': 2.97, 'darkCurrentShotNoiseLevel': 2.97, 'readoutNoiseLevel': 2.97, 'residualNoiseLevel': 2.97, 'cameraGainFactor': 0.4628854898161877, 'temperature': 0.45233750000000017, 'exposureTime': 0.0, 'fullWellSize': 0.03232323232323232, 'sensorType': 0, 'sensorPixelSize': 0.48351648351648346, 'darkSignalFoM': 0.9569181675700699, 'fClock': 0.5774647887323944, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.983050847457627, 'senseNodeResetFactor': 0.0}
{'imgName': 'CamRight_000780594000', 'photonShotNoiseLevel': 2.98, 'darkCurrentShotNoiseLevel': 2.98, 'readoutNoiseLevel': 2.98, 'residualNoiseLevel': 2.98, 'cameraGainFactor': 0.4628854898161877, 'temperature': 0.45233750000000017, 'exposureTime': 0.0, 'fullWellSize': 0.03232323232323232, 'sensorType': 0, 'sensorPixelSize': 0.48351648351648346, 'darkSignalFoM': 0.9569181675700699, 'fClock': 0.5774647887323944, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.983050847457627, 'senseNodeResetFactor': 0.0}
{'imgName': 'CamRight_000780694000', 'photonShotNoiseLevel': 2.99, 'darkCurrentShotNoiseLevel': 2.99, 'readoutNoiseLevel': 2.99, 'residualNoiseLevel': 2.99, 'cameraGainFactor': 0.4628854898161877, 'temperature': 0.45233750000000017, 'exposureTime': 0.0, 'fullWellSize': 0.03232323232323232, 'sensorType': 0, 'sensorPixelSize': 0.48351648351648346, 'darkSignalFoM': 0.9569181675700699, 'fClock': 0.5774647887323944, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.983050847457627, 'senseNodeResetFactor': 0.0}
{'imgName': 'CamRight_000780794000', 'photonShotNoiseLevel': 3.0, 'darkCurrentShotNoiseLevel': 3.0, 'readoutNoiseLevel': 3.0, 'residualNoiseLevel': 3.0, 'cameraGainFactor': 0.4628854898161877, 'temperature': 0.45233750000000017, 'exposureTime': 0.0, 'fullWellSize': 0.03232323232323232, 'sensorType': 0, 'sensorPixelSize': 0.48351648351648346, 'darkSignalFoM': 0.9569181675700699, 'fClock': 0.5774647887323944, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.983050847457627, 'senseNodeResetFactor': 0.0}
{'imgName': 'CamRight_000780894000', 'photonShotNoiseLevel': 3.01, 'darkCurrentShotNoiseLevel': 3.01, 'readoutNoiseLevel': 3.01, 'residualNoiseLevel': 3.01, 'cameraGainFactor': 0.4628854898161877, 'temperature': 0.45233750000000017, 'exposureTime': 0.0, 'fullWellSize': 0.03232323232323232, 'sensorType': 0, 'sensorPixelSize': 0.48351648351648346, 'darkSignalFoM': 0.9569181675700699, 'fClock': 0.5774647887323944, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.983050847457627, 'senseNodeResetFactor': 0.0}
{'imgName': 'CamRight_000780994000', 'photonShotNoiseLevel': 3.02, 'darkCurrentShotNoiseLevel': 3.02, 'readoutNoiseLevel': 3.02, 'residualNoiseLevel': 3.02, 'cameraGainFactor': 0.4628854898161877, 'temperature': 0.45233750000000017, 'exposureTime': 0.0, 'fullWellSize': 0.03232323232323232, 'sensorType': 0, 'sensorPixelSize': 0.48351648351648346, 'darkSignalFoM': 0.9569181675700699, 'fClock': 0.5774647887323944, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.983050847457627, 'senseNodeResetFactor': 0.0}
{'imgName': 'CamRight_000781094000', 'photonShotNoiseLevel': 3.03, 'darkCurrentShotNoiseLevel': 3.03, 'readoutNoiseLevel': 3.03, 'residualNoiseLevel': 3.03, 'cameraGainFactor': 0.4628854898161877, 'temperature': 0.45233750000000017, 'exposureTime': 0.0, 'fullWellSize': 0.03232323232323232, 'sensorType': 0, 'sensorPixelSize': 0.48351648351648346, 'darkSignalFoM': 0.9569181675700699, 'fClock': 0.5774647887323944, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.983050847457627, 'senseNodeResetFactor': 0.0}
