{'imgName': 'CamLeft_000025000000', 'photonShotNoiseLevel': 4.9045367, 'darkCurrentShotNoiseLevel': 6.204455049221616, 'readoutNoiseLevel': 2.8246420808136463, 'residualNoiseLevel': 0.0, 'cameraGainFactor': 0.45777383156001006, 'temperature': 0.6411887499999999, 'exposureTime': 0.4712212079142075, 'fullWellSize': 0.0653061224489796, 'sensorType': 0, 'sensorPixelSize': 0.48351648351648346, 'darkSignalFoM': 0.9569181675700699, 'fClock': 0.5774647887323944, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.983050847457627, 'senseNodeResetFactor': 0.0}
{'imgName': 'CamLeft_000025100000', 'photonShotNoiseLevel': 2.0314891, 'darkCurrentShotNoiseLevel': 0.0, 'readoutNoiseLevel': 1.6324085555970669, 'residualNoiseLevel': 0.0, 'cameraGainFactor': 0.024353137326357643, 'temperature': 0.5889262500000001, 'exposureTime': 0.2877730409831286, 'fullWellSize': 0.0653061224489796, 'sensorType': 0, 'sensorPixelSize': 0.48351648351648346, 'darkSignalFoM': 0.9569181675700699, 'fClock': 0.5774647887323944, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.983050847457627, 'senseNodeResetFactor': 0.0}
{'imgName': 'CamLeft_000025200000', 'photonShotNoiseLevel': 1.9286363, 'darkCurrentShotNoiseLevel': 0.0, 'readoutNoiseLevel': 1.0128379077650607, 'residualNoiseLevel': 0.0, 'cameraGainFactor': 0.014712334597747893, 'temperature': 0.6676731250000003, 'exposureTime': 0.2268089041463578, 'fullWellSize': 0.0653061224489796, 'sensorType': 0, 'sensorPixelSize': 0.48351648351648346, 'darkSignalFoM': 0.9569181675700699, 'fClock': 0.5774647887323944, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.983050847457627, 'senseNodeResetFactor': 0.0}
{'imgName': 'CamLeft_000025300000', 'photonShotNoiseLevel': 3.1739442, 'darkCurrentShotNoiseLevel': 0.0, 'readoutNoiseLevel': 2.5624870229512453, 'residualNoiseLevel': 0.0, 'cameraGainFactor': 0.15265987503082679, 'temperature': 0.5421018750000002, 'exposureTime': 0.19875954727565828, 'fullWellSize': 0.0653061224489796, 'sensorType': 0, 'sensorPixelSize': 0.48351648351648346, 'darkSignalFoM': 0.9569181675700699, 'fClock': 0.5774647887323944, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.983050847457627, 'senseNodeResetFactor': 0.0}
{'imgName': 'CamLeft_000025400000', 'photonShotNoiseLevel': 2.3132238, 'darkCurrentShotNoiseLevel': 0.0, 'readoutNoiseLevel': 2.193298120982945, 'residualNoiseLevel': 0.0, 'cameraGainFactor': 0.04882958763531704, 'temperature': 0.6050993750000003, 'exposureTime': 0.48490044339543614, 'fullWellSize': 0.0653061224489796, 'sensorType': 0, 'sensorPixelSize': 0.48351648351648346, 'darkSignalFoM': 0.9569181675700699, 'fClock': 0.5774647887323944, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.983050847457627, 'senseNodeResetFactor': 0.0}
{'imgName': 'CamLeft_000025500000', 'photonShotNoiseLevel': 3.7986271, 'darkCurrentShotNoiseLevel': 2.5201594680107475, 'readoutNoiseLevel': 1.808165512047708, 'residualNoiseLevel': 0.0, 'cameraGainFactor': 0.2401831019050496, 'temperature': 0.6356093749999999, 'exposureTime': 0.46771406849761354, 'fullWellSize': 0.0653061224489796, 'sensorType': 0, 'sensorPixelSize': 0.48351648351648346, 'darkSignalFoM': 0.9569181675700699, 'fClock': 0.5774647887323944, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.983050847457627, 'senseNodeResetFactor': 0.0}
{'imgName': 'CamLeft_000025600000', 'photonShotNoiseLevel': 2.7655377, 'darkCurrentShotNoiseLevel': 0.0, 'readoutNoiseLevel': 3.3698204392567277, 'residualNoiseLevel': 0.0, 'cameraGainFactor': 0.09395654847256653, 'temperature': 0.5909743749999997, 'exposureTime': 0.27769902515331607, 'fullWellSize': 0.0653061224489796, 'sensorType': 0, 'sensorPixelSize': 0.48351648351648346, 'darkSignalFoM': 0.9569181675700699, 'fClock': 0.5774647887323944, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.983050847457627, 'senseNodeResetFactor': 0.0}
{'imgName': 'CamLeft_000025700000', 'photonShotNoiseLevel': 2.4506097, 'darkCurrentShotNoiseLevel': 0.0, 'readoutNoiseLevel': 1.3234411971643567, 'residualNoiseLevel': 0.0, 'cameraGainFactor': 0.05986939182453136, 'temperature': 0.4918875, 'exposureTime': 0.4988105029385126, 'fullWellSize': 0.0653061224489796, 'sensorType': 0, 'sensorPixelSize': 0.48351648351648346, 'darkSignalFoM': 0.9569181675700699, 'fClock': 0.5774647887323944, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.983050847457627, 'senseNodeResetFactor': 0.0}
{'imgName': 'CamLeft_000025800000', 'photonShotNoiseLevel': 3.9501565, 'darkCurrentShotNoiseLevel': 0.0, 'readoutNoiseLevel': 3.384953602217138, 'residualNoiseLevel': 0.0, 'cameraGainFactor': 0.2540855504705604, 'temperature': 0.6037575000000004, 'exposureTime': 0.3655688199874899, 'fullWellSize': 0.0653061224489796, 'sensorType': 0, 'sensorPixelSize': 0.48351648351648346, 'darkSignalFoM': 0.9569181675700699, 'fClock': 0.5774647887323944, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.983050847457627, 'senseNodeResetFactor': 0.0}
{'imgName': 'CamLeft_000025900000', 'photonShotNoiseLevel': 4.602423, 'darkCurrentShotNoiseLevel': 3.6433270241205857, 'readoutNoiseLevel': 2.2196209710091352, 'residualNoiseLevel': 0.0, 'cameraGainFactor': 0.3602236655342856, 'temperature': 0.6510762499999998, 'exposureTime': 0.48457355994522006, 'fullWellSize': 0.0653061224489796, 'sensorType': 0, 'sensorPixelSize': 0.48351648351648346, 'darkSignalFoM': 0.9569181675700699, 'fClock': 0.5774647887323944, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.983050847457627, 'senseNodeResetFactor': 0.0}
{'imgName': 'CamLeft_000026000000', 'photonShotNoiseLevel': 2.7967188, 'darkCurrentShotNoiseLevel': 0.0, 'readoutNoiseLevel': 2.669246569275856, 'residualNoiseLevel': 0.0, 'cameraGainFactor': 0.0865147601862228, 'temperature': 0.5853243749999997, 'exposureTime': 0.08532249429612311, 'fullWellSize': 0.0653061224489796, 'sensorType': 0, 'sensorPixelSize': 0.48351648351648346, 'darkSignalFoM': 0.9569181675700699, 'fClock': 0.5774647887323944, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.983050847457627, 'senseNodeResetFactor': 0.0}
