{'imgName': 't001', 'photonShotNoiseLevel': 1.8542279, 'darkCurrentShotNoiseLevel': 0.0, 'readoutNoiseLevel': 1.046872918959707, 'residualNoiseLevel': 0.0, 'cameraGainFactor': 0.014712334597747893, 'temperature': 0.6676731250000003, 'exposureTime': 0.2268089041463578, 'fullWellSize': 0.0653061224489796, 'sensorType': 0, 'sensorPixelSize': 0.48351648351648346, 'darkSignalFoM': 0.9569181675700699, 'fClock': 0.5774647887323944, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.983050847457627, 'senseNodeResetFactor': 0.0}
{'imgName': 't002', 'photonShotNoiseLevel': 3.011423, 'darkCurrentShotNoiseLevel': 0.0, 'readoutNoiseLevel': 1.376203978434205, 'residualNoiseLevel': 0.0, 'cameraGainFactor': 0.061697240906835114, 'temperature': 0.4911812499999996, 'exposureTime': 0.2702042026196161, 'fullWellSize': 0.0653061224489796, 'sensorType': 0, 'sensorPixelSize': 0.48351648351648346, 'darkSignalFoM': 0.9569181675700699, 'fClock': 0.5774647887323944, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.983050847457627, 'senseNodeResetFactor': 0.0}
{'imgName': 't003', 'photonShotNoiseLevel': 3.6745033, 'darkCurrentShotNoiseLevel': 1.9800046053760392, 'readoutNoiseLevel': 1.2458735844120383, 'residualNoiseLevel': 0.0, 'cameraGainFactor': 0.17078330646863238, 'temperature': 0.4355287500000003, 'exposureTime': 0.5495580019828744, 'fullWellSize': 0.0653061224489796, 'sensorType': 0, 'sensorPixelSize': 0.48351648351648346, 'darkSignalFoM': 0.9569181675700699, 'fClock': 0.5774647887323944, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.983050847457627, 'senseNodeResetFactor': 0.0}
{'imgName': 't004', 'photonShotNoiseLevel': 4.207227, 'darkCurrentShotNoiseLevel': 1.0303472807822176, 'readoutNoiseLevel': 3.5215790709480643, 'residualNoiseLevel': 0.0, 'cameraGainFactor': 0.3364661687452638, 'temperature': 0.5012100000000004, 'exposureTime': 0.6244362064569648, 'fullWellSize': 0.0653061224489796, 'sensorType': 0, 'sensorPixelSize': 0.48351648351648346, 'darkSignalFoM': 0.9569181675700699, 'fClock': 0.5774647887323944, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.983050847457627, 'senseNodeResetFactor': 0.0}
{'imgName': 't005', 'photonShotNoiseLevel': 4.4964128, 'darkCurrentShotNoiseLevel': 3.5443789876304144, 'readoutNoiseLevel': 1.6078951209783554, 'residualNoiseLevel': 0.0, 'cameraGainFactor': 0.31682556066542583, 'temperature': 0.594435, 'exposureTime': 0.6322079776068492, 'fullWellSize': 0.0653061224489796, 'sensorType': 0, 'sensorPixelSize': 0.48351648351648346, 'darkSignalFoM': 0.9569181675700699, 'fClock': 0.5774647887323944, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.983050847457627, 'senseNodeResetFactor': 0.0}
{'imgName': 't006', 'photonShotNoiseLevel': 2.5576503, 'darkCurrentShotNoiseLevel': 0.0, 'readoutNoiseLevel': 2.918145563453436, 'residualNoiseLevel': 0.0, 'cameraGainFactor': 0.02785305803047023, 'temperature': 0.5736712499999996, 'exposureTime': 0.1312556491387221, 'fullWellSize': 0.0653061224489796, 'sensorType': 0, 'sensorPixelSize': 0.48351648351648346, 'darkSignalFoM': 0.9569181675700699, 'fClock': 0.5774647887323944, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.983050847457627, 'senseNodeResetFactor': 0.0}
{'imgName': 't007', 'photonShotNoiseLevel': 6.084397, 'darkCurrentShotNoiseLevel': 4.245271638612722, 'readoutNoiseLevel': 1.3498538173735142, 'residualNoiseLevel': 0.0, 'cameraGainFactor': 0.4267414097571355, 'temperature': 0.5351100000000002, 'exposureTime': 0.5056104871576281, 'fullWellSize': 0.0653061224489796, 'sensorType': 0, 'sensorPixelSize': 0.48351648351648346, 'darkSignalFoM': 0.9569181675700699, 'fClock': 0.5774647887323944, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.983050847457627, 'senseNodeResetFactor': 0.0}
{'imgName': 't008', 'photonShotNoiseLevel': 4.4801254, 'darkCurrentShotNoiseLevel': 1.065668187721661, 'readoutNoiseLevel': 2.4415354756638408, 'residualNoiseLevel': 0.0, 'cameraGainFactor': 0.2275984706722938, 'temperature': 0.5163237500000001, 'exposureTime': 0.1512156353158045, 'fullWellSize': 0.0653061224489796, 'sensorType': 0, 'sensorPixelSize': 0.48351648351648346, 'darkSignalFoM': 0.9569181675700699, 'fClock': 0.5774647887323944, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.983050847457627, 'senseNodeResetFactor': 0.0}
{'imgName': 't009', 'photonShotNoiseLevel': 2.8164737, 'darkCurrentShotNoiseLevel': 0.0, 'readoutNoiseLevel': 5.795107511803508, 'residualNoiseLevel': 0.0, 'cameraGainFactor': 0.08946534119704089, 'temperature': 0.6552431249999998, 'exposureTime': 0.5403710796089346, 'fullWellSize': 0.0653061224489796, 'sensorType': 0, 'sensorPixelSize': 0.48351648351648346, 'darkSignalFoM': 0.9569181675700699, 'fClock': 0.5774647887323944, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.983050847457627, 'senseNodeResetFactor': 0.0}
{'imgName': 't010', 'photonShotNoiseLevel': 3.6548803, 'darkCurrentShotNoiseLevel': 1.725708216826162, 'readoutNoiseLevel': 1.6572684841230512, 'residualNoiseLevel': 0.0, 'cameraGainFactor': 0.17290883264396847, 'temperature': 0.5882906249999997, 'exposureTime': 0.48739094068171357, 'fullWellSize': 0.0653061224489796, 'sensorType': 0, 'sensorPixelSize': 0.48351648351648346, 'darkSignalFoM': 0.9569181675700699, 'fClock': 0.5774647887323944, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.983050847457627, 'senseNodeResetFactor': 0.0}
{'imgName': 't011', 'photonShotNoiseLevel': 3.283805, 'darkCurrentShotNoiseLevel': 0.0, 'readoutNoiseLevel': 2.646635645069182, 'residualNoiseLevel': 0.0, 'cameraGainFactor': 0.13960453689103783, 'temperature': 0.528965625, 'exposureTime': 0.53115981557001, 'fullWellSize': 0.0653061224489796, 'sensorType': 0, 'sensorPixelSize': 0.48351648351648346, 'darkSignalFoM': 0.9569181675700699, 'fClock': 0.5774647887323944, 'senseNodeGain': 1.0, 'thermalWhiteNoise': 0.983050847457627, 'senseNodeResetFactor': 0.0}
